coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
258,Konga Cooperative,La Terza,Konga Sede Cooperative,Gedeo Zone | Yirgacheffe,Ethiopia,,Washed,Light,Heirloom,"Floral, white grape, peach, honeydew, milk chocolate"
259,Diablo,Ladro Roasting,,,Blend,,,Dark,,"Walnut, Brown Sugar, Baker's Chocolate"
260,Ardi,LaMill,,Guji,Ethiopia,,Natural,,Heirloom,"Berries, Citrus, Floral"
261,Lighthouse Blend,Lighthouse,,,Blend - Latin American,,,,,"Medium bodied, light acidity, dark chocolate, fruit"
262,Companion,Little Wolf,,Wilson Bastidas | Sidamo,Blend - Colombia | Ethiopia,,Washed | Natural,,,"Berry, chocolate, creamy"
263,Gatare,Little Wolf,,Nyamasheke ,Rwanda,1765,Washed,,Bourbon,"Plum candy, orange, juicy"
264,Ethiopia Bushan Dimo,Lone Pine Coffee Roasters,,,Ethiopia,,,,,
265,Peru Wilmer Cardoza,Lone Pine Coffee Roasters,,,Peru,,Washed,,,"Stewed Plum, Cherry, Bittersweet Cocoa"
266,Decaf Colombia Traviesa,Lone Pine Coffee Roasters,,,Colombia,,Washed | EA,,,"Nectarine, Lime, Clover Honey, Strawberry"
267,Vernal Creation,Looking Homeward,Rosalio Ventura,Mercedes,Honduras,,Natural,,Obata,"Tropical Punch, Tamarind, Hard Candy"
268,Tano Ndogo,Mad Cap,MUURU FAMILY AND FRIENDS,KIAMBU,Kenya,1850,Washed,,SL-28,"Ripe Fruit, Citrus and Florals"
269,Corazon,Mad Cap,Efrain Salvador Carhuallocllo,San Ignacio,Peru,2000,Washed,,Yellow Caturra,"Milk Chocolate, Dates, Peach, Sweet"
270,Colombia / Gomez Decaf,Maquina,Various,,Colombia,,Descafecol,,Caturra | Castillo,"Dark Chocolate, Vanilla, Creamy"
271,Honduras  Finca Emmanuel,Maquina,Familia Nolasco,Marcala,Honduras,,Washed,,Pacas,"Toffee, Chocolate, Sweet"
272,Decaf,Medici,,Valle Del Cauca,Colombia,1750,Washed | EA,,Castillo | Caturra,"White Grape, Raspberry Scone, Marzipan"
273,Cauca At'e,Megaphone,,Paez,Colombia,,Washed,Light,,"Citrus, Honey, Crushable"
274,Magdelana,Merit,,Huila,Colombia,,Washed,,Caturra | Heirloom | Castillo,"Chocolate Mousse, Green Apple, Silky"
275,Sugarcane Decaf,Merit,,,Colombia,1800,Washed | EA,,Caturra | Colombia | Castillo,"Strawberry, Vanilla Bean, Clove"
276,"Colombia, Cuaca - EA Decaf",Methodical,,Cuaca,Colombia,,Washed | EA,,,"Sweet fruit, Lemon Peel, Graham"
277,Finca Medina,Methodical,Finca Medina,Antigua,Guatemala,1600,Natural,,Bourbon | Marsellesa,"Tangerine, Pineapple, Lemon"
278,Colombia Nelson Chaves,Metric,Nelson Chaves,Yacuanquer ,,2000,Washed,,Caturra | Castillo,"Tangerine Jelly, Rosehips, Sugar Cookie"
279,La Comunion,Metric,Beneficio San Vicente,Santa Barbara,Honduras,,Honey | Washed,,Paraneima | Catuai | Bourbon,"Milk Chocolate, Honey, Lemon"
280,Lake City Blend,Metropolis,,,,,,,,"Buttery smooth, lemony citrus, malty sweetness"
281,,Milimetrica,,,,,,,,
282,Moab - Ethiopia,Moab Coffee Roasters,,,Ethiopia,,,,,"Blueberry, creamy"
283,,Monkey Coffee,,,Peru,,,,,
284,Eyasu Worasag,Mother Tongue Coffee,Eyasu Worasag - Wet Mill Owner,Guji,Ethiopia,2000,Washed,,Dega | Heirloom,"Pink Grapefruit, Blackberry"
285,Decaf Fincas Mierisch,Mother Tongue Coffee,Fincas Mierisch,Jinotega,Nicaragua,1325,Swiss Water,,Javanica | Yellow Pacamara | Red Pacamara | Red Catuai | Red Bourbon,Cherry Chocolate Cake
286,San Rafael,Moustache Coffee Club,,Cauca,Colombia,1950,Washed,,Caturra,"Black Currant, Chocolate, Molasses"
287,Santa Julia,Moustache Coffee Club,Salaverria Family,Santa Ana,El Salvador,1545,Washed,,Pacas | Bourbon,"Milk Chocolate, Red Grape, Almond"
288,Ethiopia,Neckar,Kenisa,Agaro,Ethiopia,,Washed,,Heirloom,"Floral, citrus, cane sugar"
289,,Neira Café Lab,,,Peru,,,,,
290,Benti Nenqa,Noble,Benti Nenqa Village,Guji Zone,Ethiopia,2000,Natural,,Heirloom,"Banana, Blackberry, Orange Peel"
291,Bonita Natural,Novo,Finca Bonita Springs,,Panama,,Natural,,Caturra,"Raspberry, Rose, Pineapple"
292,Pinavete Natural,Novo,,Nueva Segovia,Nicaragua,,Natural,,Caturra,"Raspberry, Peach, Molasses"
293,Ethiopia Layo Taraga,Oddly Correct,Haro Wachu Farmers,Guji,Ethiopia,2000,Washed,,Bourbon,"orange creamsicle, peach, pear, rooibos tea, brown sugar"
294,Adisu Kindane Natural Organic,Olympia,,Gedeo Zone | Yirgacheffe,Ethiopia,,Natural,,Heirloom,"strawberries, blueberries and chocolate"
295,Amparo Pajoy,Olympia,Amparo Pajoy,"San Sebastian De La Plata, Huila",Colombia,1700,Washed,,Caturra,"Tropical Fruit, citrus, Brown Sugar"
296,Banko,Olympia,Banko Gotiti Farmers,Gotiti,Ethiopia,,Washed,,Heirloom,"Cherry, citrus zest, amaretto"
297,Decaf Asterisk,Olympia,,San Sebastian,Colombia,,EA Decaf Process,,Caturra,"Milk Chocolate, Caramel, Marshmallow"
298,El Socooro Java,Olympia,Juan Diego De La Cerda,,Guatemala,,,,Java,"Candied citrus, jam, jasmine"
299,Hama,Olympia,Hama Cooperative,Gedeo Zone | Yirgacheffe,Ethiopia,,,,Heirloom,"Peach, Apricot, Lemon"
300,Holiday Blend,Olympia,,Yirgacheffe,Ethiopia,,Washed | Natural,Light Roast,,"Plum, citrus, berry, some spice"
301,La Palma,Olympia,,Chalatenango,El Salvador,,,,Paca | Bourbon,"Dark Chocolate, Cherry, Hazelnut"
302,Little Buddy,Olympia,,Kidane | San Sebastian | Mikuba,Blend - Ethiopia | Colombia | Burundi | Gitwe Hills,,Natural | Washed,,,"Sweet berries, stone fruit, chocolate"
303,Lucas Melo,Olympia,Lucas Melo,,Colombia,2200,,,Colombia F8,"Berry, cherry, brown sugar"
304,Mikuba,Olympia,,Mikuba,Burundi,,Washed,,Bourbon,"Orange, brown sugar, tea"
305,Ricardo Ariz Natural,Olympia,,,El Salvador,,Natural,,Bourbon,"Port, chocolate, berries"
306,Ariz Family SL 28,Olympia,Migual Angel Ariz,,El Salvador,,,,SL 28,"Berries, tea, brown sugar"
307,Marta Mejia Micro Lot,Olympia,Marta Mejia,"San Pedro Necta, Huehuetenango",Guatemala,1650,,,,"Strawberry, Rose, Chocolate"
308,Gitwe Honey Micro Lot 1,Olympia,Various,Gitwe Hill,Burundi,,Honey,Light,,"Grapes, Tea, Chocolate"
309,Desta Gola,Olympia,Desta Gola,Yirgacheffe,Ethiopia,,Washed,,Kurume | Wolisho | Dega,"Berry jam, peach, jasmine"
310,Coinacagro/Guatemala,Onda,Coinacagro Cooperative,Villa Canales,Guatemala,1700,Washed,,Mixed,"Sugar, Caramel, Chocolate, Apple, Honey, Grapefruit"
311,Kiko's Coffee,Onda,"Francisco ""Kiko"" Ribeiro",Carmo de Minas,Brazil,1200,,,,"Milk Chocolate, Brown Sugar, Almond"
312,Laos,Onda,The Four Families of Setapoung,,Laos,1200,,,,"Red berries, black courant, dark chocolate"
313,Victor Calderon/Decaf,Onda,Victor Calderon,Fraijanes,Guatemala,1750,Washed | Swiss Water,,Red Bourbon | Caturra | Pache,"Cocoa pops milk, fresh plum and orange acidity, almond crisp"
314,Elizabeth Ortega/Guatemala,Onda,Elizabeth Ortega,El Progreso,Guatemala,1473,Washed,,Villa Sarchi,"Cocoa, Caramel, Chocolate, Apple, Honey, Grapefruit"
315,Monarch,Onyx,,,Blend - Ethiopia | Colombia,1800,Natural | Washed,,,"Dark Chocolate, Molassess, Red Wine, Dried Berries, Thick & Syrupy"
